TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
BREWSTER'S MILLIONS,BREWSTER'S MILLIONS,DENIED,DENIED BY THE DEPARTMENT. THEY FELT THERE WAS TOO MANY HELICOPTERS COMMERCIALLY AVAILABLE IN THE NEW YORK AREA.,,,,,,TRUE,1985,5/22/1985,"Richard Pryor, John Candy, Lonette McKee, Stephen Collins",,FALSE,USA,Walter Hill,Comedy,"Brewster is a minor league baseball player. Unknown to him, he had a (recently deceased) rich relative. In order to test if Brewster knows the value of money, he is given the task of disposing of $30m in 30 days. Brewster isn't allowed to have any assets to show for the $30m or waste the money in any way. If successful, Brewster gets to inherit $300m. The biggest problem of all however, is that Brewster can't tell anyone what he's doing, so everyone thinks he's crazy. Add to this the fact that if he fails, two scheming trustees will get their hands on the money, Brewster's task is not an easy one.",https://m.media-amazon.com/images/M/MV5BM2MyMGJmZGEtOGQzNC00ZGMyLWEwNDYtMGExZjBlYjZlZGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,PG,,102,Brewster's Millions,35%,37,6.5,tt0088850,"35,054"
EIGHT IRON MEN,EIGHT IRON MEN,OTHER,WORLD WAR II MOVIE WITH LESS THAN FAVORABLE IMAGES OF AMERICAN FIGHTING MEN. PRODUCERS DID NOT REQUEST COOPERATION.,,,,,,TRUE,1952,12/1/1952,"Bonar Colleano, Arthur Franz, Lee Marvin, Richard Kiley",,FALSE,USA,Edward Dmytryk,"Drama, War","Stanley Kramer's WW-II character study has Lee Marvin as the Sergeant of a small squad laid over during fighting in Italy. During the otherwise boring time between battles, tensions arise as they are ordered not to rescue a squad mate pinned down by the enemy, for fear of risking more lives. Based on the stage play ""A Sound of Hunting"", by Harry Brown.",https://m.media-amazon.com/images/M/MV5BMDFkMzBiMTUtNDljZS00OTM2LTg2YjMtYWIyODFhZTY5ZDVlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Approved,Korean War,80,Eight Iron Men,38%,,6.6,tt0044579,459
SHIPMATES,SHIPMATES,APPROVED,"FIRST SOUND MOVIE MADE AT THE NAVAL ACADEMY. TYPICAL ROMANCE WITH SONGS. FULL COOPERATION WITH PARADES, CAMPUS, ETC",,,,,,TRUE,1931,4/25/1931,"Robert Montgomery, Ernest Torrence, Dorothy Jordan, Hobart Bosworth",,FALSE,USA,Harry A. Pollard,"Comedy, Drama, Romance",The handsome young seaman John Paul Jones falls in love with Kit Corbin. Kit is the daughter of admiral Ben Corbin. But John is unable to act upon his love because of social class differences. Meanwhile a perpetually angry Capt. Henry Beatty constantly abuses him while he struggles to get into the Naval Academy.,https://m.media-amazon.com/images/M/MV5BOTA1ZWZjNWEtNTJiMS00YjAzLTljMDEtNWFlNGU0Y2ExZjFiXkEyXkFqcGdeQXVyNjc2OTM5MTU@._V1_SX300.jpg,PASSED,,72,Shipmates,,,5.9,tt0022376,73
ENSIGN PULVER,ENSIGN PULVER,DENIED,"NAVY REFUSED ASSISTANCE TO SEQUEL OF ""MR. ROBERTS"" WHICH HAD RECEIVED ASSISTANCE ONLY BECAUSE JOHN FORD WAS DIRECTING",,,,,,TRUE,1964,7/31/1964,"Robert Walker Jr., Burl Ives, Walter Matthau, Tommy Sands",,FALSE,USA,Joshua Logan,"Comedy, Drama, War","1945, on an old cargo ship somewhere deep in the Pacific ocean: Captain Morton strives to become commander, so he demands the maximum quality of work from his crew, without granting them any freedom or favors - ignoring that they're thousand of miles away from the front. In one word: he drives his crew crazy. They are near mutiny, but no-one dares to do the first step. Until Ensign Pulver plays a prank on the captain that triggers fatal consequences...",https://m.media-amazon.com/images/M/MV5BZWQ1MDY0YTQtODdlMy00NTE5LWFlNDktN2I4NTYzNTM3OTAyXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Vietnam War,104,Ensign Pulver,49%,,5.9,tt0058060,"1,436"
CALL ME MISTER,CALL ME MISTER,LIMITED,"MUSICAL SET IN OCCUPIED JAPAN AFTER WWII. LIMITED ARMY ASSISTANCE, IE., BACKGROUND SHOTS OF MILITARY FACILITIES AND EQUIPMENT.",,,,,,TRUE,1951,4/8/1951,"Betty Grable, Dan Dailey, Danny Thomas, Dale Robertson",,FALSE,USA,Lloyd Bacon,Musical,"G.I. Sergeant Shep Dooley, former stage star awaiting discharge in postwar Tokyo, meets his estranged love Kay when she arrives to entertain the troops. Shep, who hasn't exactly lost his former irresponsibility, does his best to court Kay anew...but she has no lack of other admirers as she labors to put on a soldier show.",https://m.media-amazon.com/images/M/MV5BZTkzOGM2OTgtYTU1Mi00ODM2LTgyYTItNmExMTEzODdhYjIxXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,Approved,Korean War,96,Call Me Mister,,,5.8,tt0043370,196
ARMAGEDDON,ARMAGEDDON,APPROVED,"PRODUCTION COMPANY ACCOMMODATED CONCERNS ABOUT DEPICTION OF JCS, CHAIRMAN & MILITARY ASTRONAUTS. APPROVED USE OF USAF LOCATIONS, HELICOPTER.",,,,,,TRUE,1998,7/1/1998,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler",Nominated for 4 Oscars. Another 15 wins & 36 nominations.,TRUE,USA,Michael Bay,"Action, Adventure, Sci-Fi, Thriller","It is just another day at the National Aeronautics and Space Administration (NASA), a few astronauts were repairing a satellite until, out of nowhere, a series of asteroids came crashing into the shuttle, destroying it. These asteroids also decimated New York soon thereafter. Then, NASA discovered that there is an asteroid roughly the size of Texas heading towards the Earth, and when it does hit the Earth, the planet itself and all of its inhabitants will be obliterated, worse, the asteroid will hit the Earth in 18 days. Unfortunately, NASA's plans to destroy the asteroid are irrelevant. That is when the U.S. military decides to use a nuclear warhead to blow the asteroid to pieces. Then, scientists decide to blow the asteroid with the warhead inside the asteroid itself. The only man to do it, is an oil driller named Harry Stamper and his group of misfit drillers and geologists. As he and his drill team prepare for space excavation, the asteroid is still heading towards the Earth. When the crew are launched into outer space, they are determined to destroy this asteroid.",https://m.media-amazon.com/images/M/MV5BMGM0NzE2YjgtZGQ4YS00MmY3LTg4ZDMtYjUwNTNiNTJhNTQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,,151,Armageddon,38%,42,6.7,tt0120591,"391,177"
GOD IS MY CO-PILOT,GOD IS MY CO-PILOT,APPROVED,BASED ON BEST SELLER. AIR CORP PROVIDED SOME PLANES AND BASE FOR MOVIE ABOUT SCOTT AND THE FLYING TIGERS,,,,,,TRUE,1945,4/7/1945,"Dennis Morgan, Dane Clark, Raymond Massey, Alan Hale",,FALSE,USA,Robert Florey,"Action, Adventure, Biography, War","Robert L. Scott has dreamed his whole life of being a fighter pilot, but when war comes he finds himself flying transport planes over The Hump into China. In China, he persuades General Chennault to let him fly with the famed Flying Tigers, the heroic band of airmen who'd been fighting the Japanese long before Pearl Harbor. Scott gets his chance to fight, ultimately engaging in combat with the deadly Japanese pilot known as Tokyo Joe.",https://m.media-amazon.com/images/M/MV5BMjhkMzg0ZjAtNTcyNC00NjIwLThlMTAtYmEyODQyODI0NWRlXkEyXkFqcGdeQXVyNDYzNTI2ODc@._V1_SX300.jpg,Approved,World War II,90,God Is My Co-Pilot,50%,,6.5,tt0037746,539
BLUE THUNDER,BLUE THUNDER,DENIED,ARMY REFUSED COOPERATION ON SHORT SCENE SET IN VIETNAM. SHOWS A VIET CONG BEING THROWN OUT OF A HELICOPTER.,,,,,,TRUE,1983,5/13/1983,"Roy Scheider, Warren Oates, Candy Clark, Daniel Stern",Nominated for 1 Oscar. Another 1 win & 2 nominations.,TRUE,USA,John Badham,"Action, Crime, Drama, Sci-Fi, Thriller","Blue Thunder is a specially modified helicopter. It is for police work, but is armed and designed to counter street insurgencies. Its makers want to show what it will do, but have to train Los Angeles Police pilot Frank Murphy to fly and use it in order to allow it to operate in the city. Murphy and the project pilot have differences going back to Vietnam. The conflict between them continues to heat up as Murphy begins to suspect that Blue Thunder is more than has been disclosed.",https://m.media-amazon.com/images/M/MV5BMmVmNWIzNWQtYmMwOC00MTc1LTkxN2UtNzhlYjg5YjZjMzA4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,,109,Blue Thunder,77%,66,6.4,tt0085255,"16,978"
BEAST OF BUDAPEST,BEAST OF BUDAPEST,LIMITED,STORY OF HUNGARIAN UPRISING OF 1956. ARMY PROVIDED A FEW TANKS FOR SCENES OF SOVIET TANKS COMING INTO BUDAPEST,,,,,,TRUE,1958,2/23/1958,"Gerald Milton, Michael Mills, Violet Rensing, Greta Thyssen",,FALSE,USA,Harmon Jones,Drama,"Re-creation of the Hungarian Revolution of 1956. A Hungarian militarist (Mylong) has a daughter (Rensing) who is an ardent communist. She loves Mills, who comes from a liberal family headed...",https://m.media-amazon.com/images/M/MV5BNThkNmY2OTYtYjhlOS00NWZkLThlMGEtOGNmMDViNjJjMDg4XkEyXkFqcGdeQXVyNzUxMjA0NDU@._V1_SX300.jpg,,Vietnam War,72,The Beast of Budapest,,,6.3,tt0051403,28
DEADLY MANTIS,DEADLY MANTIS,OTHER,"TYPICAL SCIENCE FICTION IN WHICH MILITARY IS CALLED IN TO DEFEAT MONSTER, LIMITED HELP FROM ARMY, NAVY, AIR FORCE",,,,,,TRUE,1957,5/26/1957,"Craig Stevens, William Hopper, Alix Talton, Donald Randolph",,FALSE,USA,Nathan Juran,"Horror, Sci-Fi, Thriller","The calving of an Arctic iceberg releases a giant praying mantis, trapped in suspended animation since prehistoric times. It first attacks military outposts to eat their occupants, then makes its way to the warmer latitudes of Washington and New York. A paleontologist works together with military units to try to kill it.",https://m.media-amazon.com/images/M/MV5BODM4MzFiOGUtMTliYS00ZTZjLTliMWUtMjUzYjEwNTRhNTdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Approved,Vietnam War,79,The Deadly Mantis,33%,,5.1,tt0050294,"2,879"
"FLEET'S IN, THE",THE FLEET'S IN,APPROVED,PEACETIME NAVY MUSICAL RELEASED AFTER WAR BEGAN. FULL COOPERATION IN FORM OF MEN AND SHIPS AS BACKGROUND TO STORY.,,,,,,TRUE,1942,1/24/1942,"Dorothy Lamour, William Holden, Eddie Bracken, Betty Hutton",,FALSE,USA,Victor Schertzinger,"Musical, Romance",Shy sailor Casey Kirby suddenly becomes known as a sea wolf when his picture is taken with a famous actress. His buddies then make a bet with some other sailors that Casey can defrost an icy night club singer known as the Countess.,https://m.media-amazon.com/images/M/MV5BMTkyNmRjYmUtOTZjOC00YjVmLWE1OTctZDg0YzhjMjBmMzRkXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_SX300.jpg,Approved,World War II,93,The Fleet's In,45%,,6.7,tt0034736,331
"BIG LIFT, THE",THE BIG LIFT,APPROVED,"PORTRAYAL OF THE BERLIN AIRLIFT MADE ON LOCATION WITH FULL COOPERATION OF AIR FORCE WITH PLANES, MEN, AND LOCATIONS",,,,,,TRUE,1950,7/14/1950,"Montgomery Clift, Paul Douglas, Cornell Borchers, Bruni L̦bel",,FALSE,USA,George Seaton,"Drama, War","In 1948, the Soviet Union blockades the Allied sectors of Berlin to bring the entire city under their control. A semi-documentary about the resulting Berlin Airlift gives way to stories of two fictitious U.S. Air Force participants: Sgt. Hank Kowalski, whose hatred of Germans proves resistant to change, and Sgt. Danny McCullough, whose pursuit of an attractive German war widow gives him a crash course in the seamy side of occupied Berlin.",https://m.media-amazon.com/images/M/MV5BZjM0ODdjZGItMjUyZS00OWY5LThiNmUtMjY4NWJiOWM5YWNkXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg,Approved,Korean War,120,The Big Lift,45%,,6.5,tt0042249,"1,314"
"SWARM, THE",THE SWARM,APPROVED,APPROVED AND FOUND TO BE MUTUALLY BENEFICIAL TO THE DEPARTMENT OF DEFENSE. THE USE OF HELICOPTERS WAS ALSO GRANTED.,,,,,,TRUE,1978,7/14/1978,"Michael Caine, Katharine Ross, Richard Widmark, Richard Chamberlain",,FALSE,USA,Irwin Allen,"Horror, Thriller","Killer bees from South America have been breeding with the gentler bees of more northern climes, slowly extending their territory northward decade after decade. Entomologist Brad Crane has discovered that something is making them come together in huge, killer swarms. He wants to keep the General Slater from using military tactics from further upsetting the balance of nature as they join to try to stop the swarms from approaching Houston.",https://m.media-amazon.com/images/M/MV5BNDU0NGE1YjktZmIyYi00MjEwLWE0NGYtNjZjYWZiMzViODgxXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,PG,,116,The Swarm,10%,30,4.5,tt0078350,"6,457"
AIR CADET,AIR CADET,APPROVED,"AIR FORCE CADETS LEARNING TO BECOME FIGHTER PILOTS IN WORLD WAR II. FULL COOPERATION OF PLANES, EQUIPMENT, AND LOCALES",,,,,,TRUE,1951,6/29/1951,"Stephen McNally, Gail Russell, Alex Nicol, Richard Long",,FALSE,USA,Joseph Pevney,"Biography, Drama, War",A group of cadets have assorted problems at the U.S. Air Force Pilot Training Academy.,,Approved,Korean War,94,Air Cadet,,,5.9,tt0043270,114
BILOXI BLUES,BILOXI BLUES,APPROVED,REQUEST FOR USE OF FORT CHAFFEE FOR FILMING WAS GRANTED. AFTER ACTION REPORT IN FILE AT GEORGETOWN UNIVERSITY LIBRARY.,,,,,,TRUE,1988,3/25/1988,"Matthew Broderick, Christopher Walken, Matt Mulhern, Corey Parker",,FALSE,USA,Mike Nichols,"Comedy, Drama","New York City teenager Eugene Jerome starts military service thoughtfully yet patriotically prepared to take part in World War II. At boot camp in Biloxi, Mississippi, he faces the brutally opposed views of other recruits, which he must live with. Still they must bind, if not bond, facing the sadistic drill sergeant during their physically ruthless and mentally abusive training, which is heading for tragedy. Meanwhile, their boyish minds wander often to sexual frustrations, from obsession with potency (and escaping virginity) to prejudice against gays. Armed only with his sense of humor, Eugene is determined to leave camp with everything he came with.",https://m.media-amazon.com/images/M/MV5BNzI1ZWYwMmQtMDA1My00N2U3LWJlMGMtM2UxNTk2ZjhjMmMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,,106,Biloxi Blues,78%,61,6.6,tt0094746,"14,069"
BOMBARDIER,BOMBARDIER,APPROVED,WORLD WAR II FILM ABOUT TRAINING OF BOMBARDIERS AND BOMBERS IN ACTION. FILMED AT BOMBARDIER TRAINING FACILITY IN ARIZONA,,,,,,TRUE,1943,5/14/1943,"Pat O'Brien, Randolph Scott, Anne Shirley, Eddie Albert",,FALSE,USA,"Richard Wallace, Lambert Hillyer","Drama, War","Major Chick Davis proves to the U.S. Army the superiority of high altitude precision bombing, and establishes a school for bombardiers. Training is followed in semi-documentary style, with personal dramas in subplots. The climax is a spectacular, if somewhat jingoistic, battle sequence.",https://m.media-amazon.com/images/M/MV5BMjRkZTFjY2QtZjliZi00ZWZlLWI4NjgtYzM4Njk1YTYwN2I5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Approved,World War II,99,Bombardier,55%,,6.1,tt0035689,593
PATENT LEATHER KID,PATENT LEATHER KID,APPROVED,"AFTER CONSIDERABLE NEGOTIATIONS, THE ARMY PROVIDED MEN, TANKS, AND EQUIPMENT FOR STORY SET IN WORLD WAR I AND PEACETIME.",,,,,,TRUE,1927,9/1/1927,"Richard Barthelmess, Molly O'Day, Lawford Davidson, Matthew Betz",,FALSE,USA,Alfred Santell,"Drama, Romance, Sport, War",A boxer has difficulty balancing his sport with a budding romance; both are further jeopardized when the United States enters the first World War.,https://m.media-amazon.com/images/M/MV5BMjI4YTQ3MTItYTgzNy00YmJiLWExNTktMGIyNTVhMGY1ODQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,,,150,The Patent Leather Kid,,,5.8,tt0018253,444
FLAT TOP,FLAT TOP,APPROVED,MADE WITH FULL COOPERATION OF NAVY. DERIVATIVE OF EARLIER AIRCRAFT CARRIER MOVIES. USED MOSTLY COMBAT FOOTAGE TO CREATE STORY,,,,,,TRUE,1952,10/26/1952,"Sterling Hayden, Richard Carlson, William Phipps, John Bromfield",,FALSE,USA,Lesley Selander,"Drama, War","Group Commander Dan Collier, on an aircraft carrier in Korean waters during the Korean War, starts to think back to the rough days of the air-war against Japan during World War II, when he was in the same squadron. In flashbacks, he recalls the arrival of the squadron, led by Executive Officer Joe Rodgers, and the campaigns in which the squadron participated and its desperate fight for survival prior to the climax of the war.",https://m.media-amazon.com/images/M/MV5BNDY2ZWUxNjctZjQxYS00NTlmLTgzNjYtMWU2YTIxNjdlMzY3XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Korean War,83,Flat Top,38%,,6,tt0044621,411
MARINE RAIDERS,MARINE RAIDERS,APPROVED,"TYPICAL WWII MARINE MOVIE, WITH FOCUS ON TRAINING FOR COMMANDO ATTACK. FULL MARINE COOPERATION AT MARINE CORPS BASE, PENDLETON",,,,,,TRUE,1944,7/11/1944,"Pat O'Brien, Robert Ryan, Ruth Hussey, Frank McHugh",,FALSE,USA,Harold D. Schuster,"Action, Drama, Romance","A U.S. Marine major tries to keep his captain on the right track through combat on Guadalcanal, training new recruits in San Diego, and a relationship with a WAAAF while on leave in Australia.",https://m.media-amazon.com/images/M/MV5BMjlmMmM4ZWUtMDNiMi00MDFmLTllODQtYTQwZmVhNzg2NDJhXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,,World War II,90,Marine Raiders,,,5.7,tt0037048,241
"SOUND OF MUSIC, THE",THE SOUND OF MUSIC,APPROVED,NAVY PROVIDED AN PETTY OFFICER TO TEACH CHRISTOPHER PLUMMER HOW TO BLOW A BOSUN'S PIPE FOR EARLY SCENE IN FILM,,,,TRUE,NAVY PROVIDED AN PETTY OFFICER TO TEACH CHRISTOPHER PLUMMER HOW TO BLOW A BOSUN'S PIPE FOR EARLY SCENE IN FILM,TRUE,1965,4/1/1965,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",Won 5 Oscars. Another 12 wins & 13 nominations.,TRUE,USA,Robert Wise,"Biography, Drama, Family, Musical, Romance","In 1930's Austria, a young woman named Maria is failing miserably in her attempts to become a nun. When the Navy captain Georg Von Trapp writes to the convent asking for a governess that can handle his seven mischievous children, Maria is given the job. The Captain's wife is dead, and he is often away, and runs the household as strictly as he does the ships he sails on. The children are unhappy and resentful of the governesses that their father keeps hiring, and have managed to run each of them off one by one. When Maria arrives, she is initially met with the same hostility, but her kindness, understanding, and sense of fun soon draws them to her and brings some much-needed joy into all their lives -- including the Captain's. Eventually he and Maria find themselves falling in love, even though Georg is already engaged to a Baroness and Maria is still a postulant. The romance makes them both start questioning the decisions they have made. Their personal conflicts soon become overshadowed, however, by world events. Austria is about to come under the control of Germany, and the Captain may soon find himself drafted into the German navy and forced to fight against his own country.",https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,G,Vietnam War,172,The Sound of Music,83%,63,8,tt0059742,"199,344"
"AGGRESSOR SQUADRON, THE",THE AGGRESSOR SQUADRON,OTHER,THE FILM DID NOT PRESENT AN ACCURATE OR FEASIBLE PORTRAYAL OF THE AIR FORCE. ASSISTANCE TO THE FILM WAS DENIED.,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
LAST PLANE OUT,LAST PLANE OUT,APPROVED,THE REQUEST FOR ASSISTANCE IN THE FILM WAS GRANTED AND THE USE OF SOME AIRCRAFT AS WELL. SMALL SCALE PRODUCTION,,,,,,TRUE,1983,9/23/1983,"Jan-Michael Vincent, Julie Carmen, Mary Crosby, David Huffman",,FALSE,USA,David Nelson,"Action, Thriller, War",An American journalist covering the civil war in Nicaragua falls in love with a beautiful Sandinista rebel.,https://m.media-amazon.com/images/M/MV5BODZhNjg5MzMtYTEzYy00MTU5LTk2NjQtMzhhNjFlYWY5MjM1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,,92,Last Plane Out,,,4.6,tt0085823,121
BEST YEARS OF OUR LIVES,BEST YEARS OF OUR LIVES,LIMITED,ARMY AIR CORPS PROVIDED LIMITED ASSISTANCE IN FORM OF FILMING ON BASE ON WHICH WWII PLANES WERE STORED UNTIL DESTROYED,,,,,,TRUE,1946,5/29/1947,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",Won 7 Oscars. Another 14 wins & 3 nominations.,TRUE,USA,William Wyler,"Drama, Romance, War","The story concentrates on the social re-adjustment of three World War II servicemen, each from a different station of society. Al Stephenson returns to an influential banking position, but finds it hard to reconcile his loyalties to ex-servicemen with new commercial realities. Fred Derry is an ordinary working man who finds it difficult to hold down a job or pick up the threads of his marriage. Having had both hands burnt off during the war, Homer Parrish is unsure that his fianc̩e's feelings are still those of love and not those of pity. Each of the veterans faces a crisis upon his arrival, and each crisis is a microcosm of the experiences of many American warriors who found an alien world awaiting them when they came marching home.",https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Approved,,170,The Best Years of Our Lives,97%,93,8,tt0036868,"56,566"
"HELLO, DOLLY!","HELLO, DOLLY!",LIMITED,ARMY ALLOWED FILMMAKERS TO BUILD A CHURCH ON GROUNDS OF WEST POINT OVERLOOKING THE HUDSON TO FILM THE WEDDING SEQUENCE.,,,,,,TRUE,1969,12/16/1969,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew",Won 3 Oscars. Another 1 win & 13 nominations.,TRUE,USA,Gene Kelly,"Adventure, Comedy, Musical, Romance","A matchmaker named Dolly Levi takes a trip to Yonkers, New York to see the ""well-known unmarried half-a-millionaire,"" Horace Vandergelder. While there, she convinces him, his two stock clerks and his niece and her beau to go to New York City. In New York, she fixes Vandergelder's clerks up with the woman Vandergelder had been courting, and her shop assistant (Dolly has designs of her own on Mr. Vandergelder, you see).",https://m.media-amazon.com/images/M/MV5BODJmZmFiNzQtMDJiYS00ZTgzLTljZGMtNjEzNzM4NmEyYjNiXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,G,Vietnam War,146,"Hello, Dolly!",43%,51,7.1,tt0064418,"13,150"
BETWEEN HEAVEN AND HELL,BETWEEN HEAVEN AND HELL,APPROVED,TYPICAL WORLD WAR II MOVIE IN WHICH HERO BECOMES A DIFFERENT PERSON FROM HIS EXPERIENCES. ARMY PROVIDED MEN AND EQUIPMENT,,,,,,TRUE,1956,12/1/1956,"Robert Wagner, Terry Moore, Broderick Crawford, Buddy Ebsen",,FALSE,USA,Richard Fleischer,"Drama, War","Sam Gifford remembers : In prewar years he was an arrogant southern cotton plantation owner, married to the daughter of a colonel. At the beginning of the war he was mobilized with his National Guard unit as a sergeant. Came the day when, revolted by the cowardice of his lieutenant, who had fired at his own men, he hit him. Downgraded, he was sent to a disciplinary battalion. Sam now discovers his new detachment, his new commanding officer, just another cowardly brute, Captain Waco Grimes. While in combat, Sam will gradually become closer to the privates, working-class people he used to despise. He will become another man, a better man.",https://m.media-amazon.com/images/M/MV5BZTk4NjQ3NzctN2ViNC00MzUzLTg1OGItOWI1Njg5ZDE0MGRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Approved,Vietnam War,94,Between Heaven and Hell,57%,,6.6,tt0049004,"1,097"
CHAIN LIGHTNING,CHAIN LIGHTNING,OTHER,"ABOUT DEVELOPMENT OF AMERICAN JET FIGHTERS, OPENS WITH US BOMBERS BEING ATTACKED BY GERMAN JETS WITH FADE TO TEST PILOTING.",,,,,,TRUE,1950,5/31/1950,"Humphrey Bogart, Eleanor Parker, Raymond Massey, Richard Whorf",,FALSE,USA,Stuart Heisler,"Action, Adventure, Drama","Matt Brennan runs into Jo Holloway, the Red Cross girl he romanced in Europe when he was a flyer in World War II, when he is offered a job by jet manufacturer Leland Willis as a test pilot. Carl Troxell, wants to sell an escape cockpit to the Air Force. He wants Matt to stall the presentation of JA-3 the prototype that doesn't include the ejection seat, to give him more time for the experimental JA-4. But Matt doesn't believe it is yet safe enough to try.",https://m.media-amazon.com/images/M/MV5BNDI1ZTc2OWMtNjA1NC00MTA2LWJjZTgtNWIxMDI2YjRmMDYyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Approved,,94,Chain Lightning,20%,,6.1,tt0042324,954
LIFE FLIGHT: THE MOVIE,LIFE FLIGHT: THE MOVIE,APPROVED,THE NATIONAL GUARD BUREAU APPROVED USE OF AN APPROPRIATE HELICOPTER FOR THE PRODUCTION. NO RECORD FILM MADE WITH THIS TITLE,,,,,,TRUE,1987,1/1/1987,"Jim McMullan, Pat Delaney, Lynda Beatie, Jerry L. Jackson",,FALSE,USA,Donald W. Thompson,,"Evangelistic in content and emphasis, Life Flight is an action-packed, family program about finding meaning in life.",https://m.media-amazon.com/images/M/MV5BMTQyODYwMTk2Nl5BMl5BanBnXkFtZTgwNzYwOTk1MDE@._V1_SX300.jpg,,,87,Life Flight: The Movie,,,5.4,tt0157233,11
"LIVING DAYLIGHTS, THE",THE LIVING DAYLIGHTS,DENIED,THE REQUEST FOR DOD ASSISTANCE AND APPROVAL WAS CANCELLED. THE PRODUCTION COMPANY INITIALLY REQUESTED THE USE OF A NAVY CARRIER.,,,,,,TRUE,1987,7/31/1987,"Timothy Dalton, Maryam d'Abo, Jeroen Krabb̩, Joe Don Baker",3 wins & 4 nominations.,TRUE,"UK, USA",John Glen,"Action, Adventure, Thriller","James Bond 007's mission is to firstly, organise the defection of a top Soviet general. When the general is re-captured, Bond heads off to find why an ally of General Koskov was sent to murder him. Bond's mission continues to take him to Afghanistan, where he must confront an arms dealer known as Brad Whitaker. Everything eventually reveals its self to Bond.",https://m.media-amazon.com/images/M/MV5BZjI4MjBmYzItYTY5OC00OWYzLWE0NWYtZDQxNDQxM2QzYjA4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,PG,,130,The Living Daylights,73%,60,6.7,tt0093428,"87,398"
