Title,Subtitle,Status,Year,Remarks,Interesting?
BLUE THUNDER,,DENIED,1983,ARMY REFUSED COOPERATION ON SHORT SCENE SET IN VIETNAM. SHOWS A VIET CONG BEING THROWN OUT OF A HELICOPTER.,
"BOLD AND THE BRAVE, THE",,OTHER,1956,"WORLD WAR II ARMY FILM, FOCUSED ON MEN DOING THE FIGHTING IN ITALY",
BOMBARDIER,,APPROVED,2000,WORLD WAR II FILM ABOUT TRAINING OF BOMBARDIERS AND BOMBERS IN ACTION. FILMED AT BOMBARDIER TRAINING FACILITY IN ARIZONA,
BOMBERS B-52,,APPROVED,1957,PRO-SAC FILM MADE WITH FULL COOPERATION OF CURTIS LEMAY AND THE AIR FORCE. PORTRAYED THE TRANSITION FROM 0475 TO B-SZS. BLATANT PROPAGANDA FOR SAC MISSION,Y
BORN ON THE 4TH OF JULY,,OTHER,1989,"WORLD WAR II DRAMA ABOUT A SMALL UNIT FORCED TO TRY TO STOP A GERMAN ATTACK. ARMY PROVIDED MEN AND EQUIPMENT TO STAGE BATTLE SCENES. FILM CONSIDERED BETTER THAN MOST OF TYPE IN PART DUE TO WRITING OF ROBERT PIROSH, WHO PREVIOUSLY WON AN OSCAR FOR ""BATTLEGROUND.""",Y
BREAKTHROUGH,,APPROVED,1950,"UNEXCEPTIONAL WORLD WAR II ARMY STORY FROM TRAINING TO COMBAT, ARMY PROVIDED FULL ASSISTANCE",
BREWSTER'S MILLIONS,,DENIED,1985,DENIED BY THE DEPARTMENT. THEY FELT THERE WAS TOO MANY HELICOPTERS COMMERCIALLY AVAILABLE IN THE NEW YORK AREA.,
BRIDGE AT REMAGEN,,OTHER,1969,"FICTIONALIZED ACCOUNT OF THE CROSSING OF THE RHINE. SINCE MADE BEHIND THE IRON CURTAIN, THE US MILITARY COULD NOT PROVIDE ANY ASSISTANCE. HOWEVER, A RETIRED ARMY OFFICER SERVED AS THE TECHNICAL ADVISOR. IRONY IS THAT DAVID WOLPER, FAMOUS FOR DOCUMENTARIES, FICTIONALIZED A TRUE STORY. NOT GENERALLY CONSIDERED TO BE A WELL-MADE FILM",Y
BRIDGE OF SPIES,ST. JAMES PLACE,APPROVED,2015,"Filmed U-2s static, towed, take—offs and landings for several days at Beale AFB, CA",
BRIDGE TO THE SUN,RUN TIGER RUN,LIMITED,,"THE FILM WAS APPROVED SEPT. 1932, UNDER THE NAME ""RUN TIGER RUN,"" BY THE DEPARTMENT AND THE AIR FORCE. THE REQUEST FOR F-4 STOCK FOOTAGE WAS APPROVED. NO RECORD FILM WAS COMPLETED",
BRIDGE TOO FAR,,APPROVED,1977,"ARMY FOUND SCRIPT EXCELLENT, RELATIVELY SMALL AMERICAN PRESENCE IN BRITISH FILM.",
"BRIDGES AT TOKO RI, THE",,APPROVED,1954,"MADE WITH FULL COOPERATION OF THE NAVY. BASED ON ARTICLE AND BOOK BY JAMES MICHENER. SHOWED CARRIER JET OPERATIONS WHICH WAS REASON NAVY APPROVED FILM DESPITE ANTI-WAR ENDING WITH WILLIAM HOLDEN, A RELUCTANT WARRIOR, DEAD IN A DITCH AFTER BEING SHOT DOWN.",Y
BROKEN ARROW,,DENIED,1998,RENEGADE AIR FORCE PILOT STEALS TWO NUCLEAR WEAPONS TO SELL TO HIGHEST BIDDER. OBVIOUSLY NO WAY THE AIR FORCE WOULD HELP ON SUCH A PORTRAYAL.,
BROTHER RAT,,APPROVED,1938,STORY OF CADETS AT VIRGINIA MILITARY ACADEMY. ARMY HELPED IN TRAINING EXERCISES FOR CADETS,
BROTHERS IN ARMS,,DENIED,1989,"THE FILM HAD TOO MANY INACCURACIES FOR THE PRODUCTION CHANGE WITHOUT COMPLETELY CHANGING IT FOR DOD APPROVAL. THE EVENTS DEPICTED WERE IMPLAUSIBLE & NOT AUTHENTIC PORTRAYALS OF MILITARY OPERATIONS BL PERSONNEL.",
BUFFALO SOLDIERS,,APPROVED,,"APPROVED USE OF EXTERIOR FILMING AT FORT HUACHUCA PARADE GROUND AND INTERIOR FILMING AT FORT HUACHUCA, MUSEUM — TOTAL TIME 1 WEEK — AS OF 9-17-92, NO FILMING HAD TAKEN PLACE (MONEY PROBLEMS?) NO RECORD OF FILM BEING MADE",
BYE BYE BIRDIE,,LIMITED,1963,"ROCK STAR (GUESS WHO) DRAFTED INTO ARMY. PENTAGON PROVIDED LIMITED, BACKGROUND HELP.",Y
"CAINE MUTINY, THE",,APPROVED,1954,"NAVY FOUGHT VALIANTLY TO AVOID ASSISTING ON MOVIE CLAIMING IT HAD NEVER EXPERIENCED A MUTINY ON ONE OF ITS SHIPS (NOT ACCURATE). STANLEY KRAMER FOUGHT EVEN HARDER TO OBTAIN ASSISTANCE AND FINALLY WORE DOWN NAVY AFTER CHANGING PORTRAYAL OF QUEEG, SHOWING HIM THE VICTIM OF THE STORY BECAUSE HIS MEN WOULD NOT SUPPORT HIM.",Y
CALL ME MISTER,,LIMITED,1951,"MUSICAL SET IN OCCUPIED JAPAN AFTER WWII. LIMITED ARMY ASSISTANCE, IE., BACKGROUND SHOTS OF MILITARY FACILITIES AND EQUIPMENT.",
CAMP NOWHERE,,APPROVED,1994,STORY ABOUT KIDS INVENTING A FAKE SUMMER CAMP OF THEIR OWN — COMPANY WANTED SOME MILITARY JETS TO FLY OVER (TARGET OF OPPORTUNITY) FOR A SHOT THAT REINFORCES THE KIDS' PLAN (THE AUDIENCE UNDERSTANDS THAT THE JETS AREN'T REALLY PART OF IT),Y
"CAPT. NEWMAN, M.D.",,APPROVED,1963,"STORY OF ARMY PSYCHIATRIST DEALING WITH COMBAT FATIGUE DURING WORLD WAR II. ARMY PROVIDED MEN, EQUIPMENT AND FACILITIES FOR PART-DRAMA, PART-COMEDY FILM",
CAPTAIN AMERICA,,DENIED,1990,"THE REQUEST FOR STOCK FOOTAGE WAS DENIED BY THE- DOD, AS WELL AS, THE DEPARTMENT OF THE ARMY. THE AMOUNT OF MILITARY PRESENCE IN THE FILM WAS EITHER FANCIFUL OR DAMAGING SUGGESTED COMMERCIAL ASSISTANCE. NEVER RELEASED THEATRICAL IN US. APPARENTLY A VERY TERRIBLE FILM",
CAPTAIN AMERICA THE WINTER SOLDIER,,APPROVED,2014,"Principle filming was in Cleveland, Ohio, so the National Guard allowed Marvel to build a few sets in a secluded area of the 22,000 acre Army National Guard base, Camp Ravenna, located an hour south of Cleveland. In return, the Guard received significant portrayal in the film. As always, there was no cost to the government, and when filming was completed, Marvel tore down the sets and restored the installation back to its original condition. For the build—up, filming, and tear-down —- in total, about three weeks",Y
CAPTAIN EDDIE,,LIMITED,1945,CINEMATIC BIOGRAPHY OF CAPTAIN EDDIE RICKENBACKER. ARMY AIR CORPS PROVIDED LIMITED ASSISTANCE ON STORY THAT INCLUDED WORLD WAR I COMBAT AND RICKENBACKER'S 19 DAYS FLOATING IN THE PACIFIC AFTER HIS PLANE WENT DOWN,
CAPTAIN PHILLIPS,A CAPTAIN'S DUTY/MAERSK/ALABAMA,APPROVED,2013,"Bulk of filming took place between June 10 and June 25, in vicinity of Norfolk, VA. Navy support during this period included extensive filming interiors and exteriors aboard USS Truxtun (DDS-103), in port and underway, to reenact the standoff and rescue scenes. Filming aboard a large deck amphibious landing ship, including helicopter flight operations also took place. An Oliver Hazard Perry class FFG-7 also took part in the underway filming. A static Air National Guard C-130 was also used to reenact a scene in which Navy SEALs board the aircraft on route to the mission area. Two active duty Navy SEALs on terminal leave were hired by the production company to reenact the SEAL role in the mission, and one active duty SEAL from NAVSPECWARCOM was assigned as a technical advisor. The captain of the Bainbridge (actual ship in the operation) was also on site periodically as a technical advisor ",
CAPTURED,,APPROVED,1933,STORY ABOUT AMERICAN FLIERS SHOT DOWN AND CAPTURED DURING WORLD WAR I. ARMY AIR CORPS COOPERATION IN THE FORM OF MEN AND PLANES.,
CASSANDRA CROSSING,,OTHER,1977,"FILM ABOUT ARMY'S PURSUIT OF STOLEN BIOLOGICAL AGENT AND DECISION TO KILL EVERYONE ON TRAIN TO HIDE EXISTENCE OF DISEASE. IMPORTANT FOR COMMENT BY BURT LANCASTER AS COLONEL IN CHARGE OF DESTROYING TRAIN — ""I KNOW YOU DO NOT THINK MUCH OF THE MILITARY ANYMORE, BUT I DO MY JOB AND DO IT WELL."" COMMENT IS A CLEAR REFLECTION OF HOW THE POST-VIETNAM MILITARY WAS VIEWED IN LATE 1970S",Y
CASTLE KEEP,,OTHER,1969,ANOTHER ARMY WORLD WAR II STORY MADE IN EUROPE WITHOUT ASSISTANCE REQUESTED.,
CASUALTIES OF WAR,,OTHER,1989,"COMBAT FILM WHICH CAPTURES A POPULAR VIEW OF THE NATURE OF THE AMERICAN EXPERIENCE IN VIETNAM. SQUAD SENT ON RECON MISSION KIDNAPS VIETNAMESE GIRL, RAPE FER, AND ULTIMATELY KILL HER. BASED ON TRUE STORY WHICH APPEARED FIRST IN THE NEW YORKER AND THEN IN BOOK FORM. THE ONE SOLDIER WHO DID NOT TAKE PART IN SEXUAL ABUSE REPORTED WHAT HAPPENED AND MEN WERE COURT MARTIALED AND SENTENCED TO PRISON BUT DID NOT SERVE TIME. ""HERO"" PORTRAYED AS VILLIAN FOR REPORTING CRIME.",Y
CATCH-22,,OTHER,1970,MOVIE BASED ON CLASSIC AMERICAN NOVEL ABOUT THE ABSURDITIES OF WAR. DIRECTOR MIKE NICHOLS CREATED HIS OWN AIR FORCE OF B-25 BOMBERS FOR FILMING IN MEXICO. FILM WAS NOT A POPULAR SUCCESS IN PART BECAUSE PEOPLE WHO HAD NOT READ THE NOVEL CAME TO THEATER EXPECTING TO SEE A COMBAT MOVIE. DESCRIBED AS A NOBLE FAILURE BY SOME CRITICS,Y
CHAIN LIGHTNING,,OTHER,1950,"ABOUT DEVELOPMENT OF AMERICAN JET FIGHTERS, OPENS WITH US BOMBERS BEING ATTACKED BY GERMAN JETS WITH FADE TO TEST PILOTING.",
CHASERS,,DENIED,1994,"NATIONAL GUARD ASKED DOD FOR PERMISSION TO PROVIDE A MOTOR POOL AND VEHICLES TO SUBSTITUTE FOR THE NAVY ONE IN THE SCRIPT. WE SAID NO, DID NOT MEET DOD CRITERIA FOR SUPPORT. PRODUCTION COMPANY INFORMALLY SOUGHT NAVY COOPERATION. AFTER INFORMAL NEGOTIATIONS, COMPANY AGREED THAT THE CHANGES WE WANTED WERE TOO MUCH TO ACCOMMODATE. IN MAY; 1993, SOUTH CAROLINA NATIONAL GUARD ASKED DOD FOR PERMISSION TO PROVIDE A MOTOR POOL",
CINDERELLA LIBERTY,,DENIED,1973,"DIRECTOR AND FILM COMPANY NEGOTIATED FOR A LONG TIME SEEKING COOPERATION. STICKING POINT WAS THAT SAILOR GOES AWOL TO TAKE CARE OF BOY WHOSE MOTHER IS A PROSTITUTE. ULTIMATELY REACHED A TENTATIVE AGREEMENT, BUT THEN CHIEF OF INFORMATION DECIDED THAT FILM PERPETUATED NEGATIVE IMAGE OF NAVY RESULTING FROM THE VIETNAM WAR-EVEN THOUGH VIETNAM IS NOT MENTION ED AND IS NOT SUBJECT AFTER FINAL TURNDOWN, FILMMAKERS RETURNED TO ORIGINAL SCRIPT",Y
CLASS MATES,,APPROVED,1924,"EARLY WEST POINT STORY, FILMED AT ACADEMY USING HISTORIC SETTLING TO ATTRACT AUDIENCES AND AID RECRUITING",
CLEAR AND PRESENT DANGER,,APPROVED,1994,"REQUESTED AIRCRAFT, SHIPS, LOCATIONS. AFTER AN EXTENDED PERIOD OF SCRIPT NEGOTIATIONS, APPROVED ASSISTANCE. USE OF AIRCRAFT CARRIER TO LAUNCH ATTACK ON DRUG LORDS",
"CLIENT, THE",,APPROVED,1994,"COMPANY REQUESTED TO USE NATIONAL GUARD HANGAR AND EXTRAS TO ENACT SCENE IN WHICH ""THE CLIENT"" IS ACCEPTED INTO THE FEDERAL WITNESS PROTECTION PROGRAM UNDER HEAVY FBI/NATIONAL GUARD SECURITY. FBI SAID PORTRAYAL IS REALISTIC. APPROVED SUPPORT",
CLIPPED WINGS,,LIMITED,1959,"FULL NAVY COOPERATION, SHIPS, MEN AND EQUIPMENT FOR STORY SET IN BATTLE OF CORAL SEA",
CLOSE ENCOUNTERS OF THE THIRD KIND,,DENIED,1977,STUDIO WANTED USE OF A LARGE HANGER IN WHICH TO FILM FINAL SEQUENCE WHEN ALIEN SPACESHIP LANDS. AIR FORCE REFUSED TO ASSIST ON THE GROUNDS THAT IT HAD DENIED THE EXISTENCE OF UFOS OR ALIENS AND SO IT WAS NOT APPROPRIATE TO COOPERATE.,Y
COCK-EYED WORLD,,APPROVED,1929,"MARINES IN PEACETIME, CHASING WOMEN, ETC.",
COCOON,THE JOURNEY BACK,DENIED,1985,"AIR FORCE ASSISTANCE WAS DENIED SINCE THE FILM PORTRAYED THE AIR FORCE UNREALISTICALLY, THE IMAGE OF THE AIR FORCE WAS PORTRAYED UNPROFESSIONALLY, AND THIRDLY, THE BASIC STORYLINE IS CONTRARY TO AIR FORCE POLICY ON UFO'S--THE AIR FORCE HAS ALWAYS REFUSED TO PROVIDE ASSISTANCE TO STORIES THAT SHOW UFOS AS REAL INCLUDING ""CLOSE ENCOUNTERS OF THE THIRD KIND"" AND ""STAR MAN.""",Y
CODE NAME: DELTA FORCE,,DENIED,,"THE CONCEPT OF THE FILM WAS INACCURATE AND CAST THE US. GOVERNMENT, DOD, AND SPECIAL OPERATIONS FORCES IN UNFAVORABLE LIGHT. ASSISTANCE DENIED. NO RECORD FILM MADE",
COLONEL JAMES ROWE STORY,,LIMITED,,THE DEPARTMENT OF THE ARMY APPROVED FOR BACKGROUND ASSISTANCE ONLY. NO RECORD THAT FILM WAS MADE,
COLOSSUS,THE FORBIN PROJECT,OTHER,1970,"THIS IS A CLASSIC SCIENCE FICTION, COMPUTER FILM IN WHICH COMPUTERS BUILT BY THE US AND THE SOVIET UNION TO CONTROL MILITARY ACTIVITIES JOIN TOGETHER TO TAKE OVER THE WORLD. NO COOPERATION. MILITARY HAS A PRIMARY ROLE IN FILM BUT IS PORTRAYED AS HELPLESS TO PROTECT THE WORLD AGAINST COMPUTERS.",Y
COMBAT SQUAD,,APPROVED,1953,"TYPICAL ARMY STORY SET IN KOREA. ARMY PROVIDED MEN, EQUIPMENT, AND TECHNICAL ADVISOR",
COME SEE THE PARADISE,,DENIED,1990,DENIED BECAUSE IT HAD A VERY LITTLE OR NOTHING TO DO WITH THE ARMY,
COMING HOME,,DENIED,1978,"MARINES REFUSED TO PROVIDE ASSISTANCE ON STORY WHICH CONTAINED REFERENCE TO LEATHERNECKS IN VIETNAM CUTTING EARS OFF DEAD VIET CONG, PORTRAYING AN OFFICER SUFFERING A BREAKDOWN FROM HIS WAR EXPERIENCES AND COMMITTING SUICIDE, AND A PARALYZED VIETNAM VET ATTACKING THE MARINES. IN FACT, IF SCRIPT SHOT HAD BEEN SUBMITTED, MARINES MIGHT HAVE ASSISTED. IN ANY CASE FILM HELPED CONVINCE MARINE CORPS IT WAS BETTER TO ASSIST THAN TO IGNORE.",
COMMAND DECISION,,APPROVED,1948,FIRST POST-WAR MOVIE ABOUT HEAVING BOMBING OF GERMANY. ARTIFICIAL WITH APPEARANCE OF CONGRESSIONAL COMMITTEE SEEKING ANSWERS ABOUT COMBAT LOSSES. AF PROVIDED PLANES AND COMBAT FOOTAGE.,
CONTACT,,APPROVED,1997,"ORIGINALLY A FAIR AMOUNT OF SILLY MILITARY DEPICTION. NEGOTIATED CIVILIANIZATION OF ALMOST ALL MILITARY PARTS. MINIMAL MILITARY DEPICTION, BUT POSITIVE (BENIGN). ALLOWED USE OF VEHICLES & HELICOPTERS FOR NATIONAL GUARD SEQUENCE. NO FILE",
CONVOY,,APPROVED,1927,FULL NAVY COOPERATION ON FEATURE SET IN WORLD WAR I.,
"CORE, THE",,APPROVED,2003,"AFTER FAIRLY LENGTHY SCRIPT NEGOTIATIONS DESIGNED TO INCREASE MILITARY REALISM AMONG THE MILITARY CHARACTERS AND ALSO TO AVOID THE IMPRESSION THAT THE US. ON ITS OWN AND WITHOUT ANY PARTICULAR REASON CREATED A MACHINE THAT COULD DISRUPT THE EARTH'S CORE AND DESTROY THE WORLD. IT WAS DECIDED THAT, LIKE NUCLEAR DETERRENCE, THE US. BUILD A VERSION OF THE MACHINE TO PREVENT AN ADVERSARY FROM USING ITS ALREADY EXISTING MACHINE. ASSISTANCE WAS MODEST, CONSISTING PRIMARILY OF FILMING FDR SEVERAL DAYS ABOARD A NAVY SHIP.",Y
COURAGE UNDER FIRE,,DENIED,1996,"PRODUCTION COMPANY REQUESTED USE OF ARMORED VEHICLES (TANKS, BRADLEYS) AIRCRAFT, INSTALLATIONS, ETC, BUT TOO MANY SCRIPT CONCERNS REMAINED UNRESOLVED (MUTINY, COVER-UP, ETC). GAVE COURTESY, INFORMATIONAL ASSISTANCE ONLY. DID CONCUR WITH ARMY SETTING UP OVERNIGHT VISIT TO FORT IRWIN FOR ACTOR DENZEL WASHINGTON, WHICH RESULTED IN HIM MAKING FAVORABLE COMMENTS DURING PUBLICITY INTERVIEWS PROMOTING THE FILM.",Y
COURT MARTIAL OF BILLY MITCHELL,,LIMITED,1955,VERY LIMITED ASSISTANCE IN THE FORM OF NEWSREEL FOOTAGE AND ADVICE,
CRASH DIVE,,APPROVED,1943,"FIRST MAJOR SUBMARINE MOVIE OF WORLD WAR II. PURE FANTASY WITH AMERICAN SUBMARINE ON COMBAT CRUISE IN ATLANTIC, SINKS GERMAN SHIPS AND DESTROYS A MYTHICAL NAZI SUBMARINE SUPPLY BASE ON AN ISLAND IN THE NORTH ATLANTIC. NAVY PROVIDED FULL COOPERATION AT THE NEW LONDON SUBMARINE BASE.",
CRASH DIVE,,OTHER,1996,"DID NOT REQUEST ASSISTANCE, DATE APPROXIMATE, NO FILE STORY OF US NAVAL OFFICER DETAILED TO A RUSSIAN SUBMARINE IN POST-COLD WAR ERA. FINDS TERRORISTS IN CONTROL OF SUB WHO WANT TO FIRE MISSILES. US OFFICER SAVES THE DAY.",
CRIMSON TIDE,,APPROVED,1995,FILMMAKERS ADVISED SAAV (OVER TELEPHONE) THAT THEY WERE NOT INCLINED TO REDUCE ARM ED MUTINY TO WAR OF WORDS/CONTEST OF WILLS. NEITHER PRODUCER JERRY BRUCKHEIMER NOR DIRECTOR TONY SCOTT EVER ENTERED INTO ACTUAL NEGOTIATIONS — NAVY PROBABLY OPPOSED TO ANY KIND OF MUTINY (PARTICULARLY AN ARMED MUTINY). SAAV FAXED AUTHORIZATION FOR STOCK FOOTAGE TO MMRC (IN LIEU OF FOIA REQUEST).,X
CROSS BELTS,,OTHER,,"THE FILM WAS LEFT PENDING AS OF 13 SEPTEMBER, 1988. IT WAS FELT AT THE TIME THAT THE STORY WAS TOTALLY MISLEADING AND DISTORTED THE PURPOSE OF THE FOURTH CLASS SYSTEM. NO FURTHER ACTIONS WERE TAKEN. NO RECORD OF FILM BEING MADE",
CRY FOR HAPPY,,LIMITED,1961,PEACETIME MOVIE SET IN OCCUPIED JAPAN WITH NAVY PHOTO TEAM SETTING UP HOUSEKEEPING IN A GEISHA HOUSE. LIMITED USE OF MEN AND SHIPS AS BACKGROUND,
"D-DAY, THE SIXTH OF JUNE",,LIMITED,1956,"LOVE STORY SET IN DAYS BEFORE D-DAY. SMALL SCALE LANDING FILMING ON CALIFORNIA COAST NORTH OF LOS ANGELES. ARMY PROVIDED LIMITED ASSISTANCE IN FORM OF TECHNICAL ADVISOR, EQUIPMENT, AND MEN",
"D.I., THE",,APPROVED,1957,"THIS IS THE CLASSIC PORTRAYAL OF A D.I. TURNING RECRUITS INTO MARINES. THE CORP'S IMAGE HAD SUFFERED FROM SEVERAL TRAINING ACCIDENTS IN PRIOR YEARS AND JACK WEBB'S PORTRAYAL HELPED RE-ESTABLISH THE IMAGE OF THE CORPS AS COMPRISED OF A FEW GOOD MEN. MARINES PROVIDED FULL COOPERATION AT PARRIS ISLAND, LOCALES, MEN, AND EQUIPMENT.",Y
DARBY'S RANGERS,,APPROVED,1958,ARMY PROVIDED FULL COOPERATION ON STORY BASED ON FACT OF RANGERS IN NORTH AFRICA AND ITALY DURING WORLD WAR II. SERVICE PROVIDED MEN AND EQUIPMENT.,
DARYL,,DENIED,1985,FILM CONTAINS NOTHING POSITIVE FOR THE AIR FORCE OR DOD IN AUTHORIZING USE OF STOCK FOOTAGE FOR THE PROJECT. DATE OF 3-DEC-1984 IN DATABASE. THERE IS A 1985 FILM TITLED D.A.R.Y. L. THAT MIGHT BE SAME PROJECT--FILM ABOUT A ROBOT,
DAVE,,APPROVED,1993,ESSENTIALLY NON-MILITARY PICTURE. MARINE HONOR GUARD SERVED AS OFF-DUTY EXTRAS TO REENACT A PRESIDENTIAL ARRIVAL SCENE AT THE WHITE HOUSE. COURTESY ASSISTANCE. ALLOWED EXTERIOR FILMING AT NAVAL HOSPITAL BETHESDA FOR MINOR SCENE AT THE END OF THE FILM.,
DAY AFTER TOMORROW,,APPROVED,2004,"ESSENTIALLY A NATURAL-DISASTER SCI FI PICTURE WITH LITTLE MILITARY PORTRAYAL ASIDE FROM DISASTER RELIEF, ETC. APPROVED PARTICIPATION OF ARMY NATIONAL GUARD ROTARY WING, VEHICLES, MILITARY POLICE (WITH DOGS), EXTRAS, ETC, FILMING NEAR FORT BLISS, III. OTHER ROTARY WING FILMING TOOK PLACE NEAR MONTREAL, CANADA.",
DAY AFTER TRINITY,,OTHER,1980,AWARD WINNING DOCUMENTARY ON THE BUILDING OF THE ATOMIC BOMB WITH INTERVIEWS BY MANY LEADING SCIENTISTS AND MILITARY MEN. MOST LIKELY RECEIVED USE OF DOCUMENTARY FOOTAGE TAKEN BY CORPS OF ENGINEERS DURING WAR.,
DAY BEFORE MIDNIGHT,,DENIED,,"THE DEPARTMENTS OF THE ARMY, AIR FORCE, ANG, AND NGB DENIED ASSISTANCE TO THE FILM. THEY FELT THAT THE FILM HAD TOO MANY INACCURACIES. AS OF JAN 2001, THE FILM HASN'T BEEN PRODUCED",
DAY OF THE DEAD,,LIMITED,1985,APPROVED USE OF ARMY LAUNCH SITE NO LONGER IN ACTIVE USE — USED DOD DIRECTIVE REGARDING REAL ESTATE. ,
DAY THE EARTH STOOD STILL,,LIMITED,1951,"CLASSIC SCIENCE FICTION FILM WHICH RECEIVED NATIONAL GUARD COOPERATION ON THEORY THAT IF AN ALIEN APPEARED, THE MILITARY WOULD DEFEND THE NATION.",Y
"DAY THE EARTH STOOD STILL, THE",,APPROVED,2008,"THIS PICTURE WAS FILMED MOSTLY IN VANCOUVER, B.C., WITH MILITARY EQUIPMENT RENTED FROM VARIOUS COMMERCIAL VENDORS. GENERAL DYNAMICS FURNISHED AN ARMY STRYKER VEHICLE AND CREW FOR ONE SCENE, BUT THE ONLY ACTUAL ASSISTANCE WAS PROVIDED ON SET BY DOD (PHIL STRUB) AND ARMY TECHNICAL ADVISOR (LIEUTENANT COLONEL TODD BREASSEALE). AN EXTENDED WRITERS GUILD STRIKE HAD OBVIATED MAKING THE USUAL PAGE CHANGES, SO ALL ISSUES HAD TO BE (AND WERE SUCCESSFULLY) RESOLVED ON SET DURING PRODUCTION.",y
DEADLY MANTIS,,OTHER,1957,"TYPICAL SCIENCE FICTION IN WHICH MILITARY IS CALLED IN TO DEFEAT MONSTER, LIMITED HELP FROM ARMY, NAVY, AIR FORCE",
DECISION BEFORE DAWN,,APPROVED,1951,STORY OF GERMAN POW WHO AGREES TO SPY FOR THE UNITED STATES DURING WWII. PRODUCED BY FRANK MCCARTHY. RECEIVED FULL COOPERATION FROM ARMY FOR FILMING ON LOCATION IN GERMANY,
DEEP FREEZE,,OTHER,1958,NEED ADDITIONAL INFORMATION,
DEEP IMPACT,,APPROVED,1998,"PRODUCTION COMPANY AGREED TO CHANGES IN SCRIPT; WE AGREED TO PROVIDE ARMY (NATIONAL GUARD) HELICOPTERS, VEHICLES (HUMVEES, TRUCKS) FOR A FEW DAYS OF FILMING IN L.A. AREA",
DEEP SIX,,APPROVED,1958,NAVY PROVIDED FULL COOPERATION ON FILM ABOUT A QUAKER IN THE SERVICE WHO BECOMES A HERD AFTER EARLY INABILITY TO FIGHT.,
"DEER HUNTER, THE",,OTHER,1978,"PRODUCERS DID NOT APPROACH DOD FOR HELP. OHIO FILM BUREAU DID REQUEST USE OF ANG PLANES WHICH GAVE DOD A CHANCE TO CRITIQUE SCRIPT. FOUND FULL OF ERRORS. NO RUSSIAN ROULETTE, ETC. PRODUCERS HAD SOUGHT USE OF ANG AT YOUNGSTOWN AIRPORT",
DEJA VU,,APPROVED,1999,"APPROVED FILMING AT CAMP MINDEN, LA (ARMY NATIONAL GUARD SITE) FOR APPROXIMATELY 20 DAYS. VARIOUS VEHICLES WERE EMPLOYED THAT WERE NOT REASONABLY AVAILABLE FROM COMMERCIAL SOURCES. FILMING TOOK PLACE A VARIOUS LOCATIONS, INCLUDING A BAYONET ASSAULT COURSE. APPROXIMATELY 10 SOLDIERS OPERATED AND MAINTAINED THE EQUIPMENT AND THERE WERE ALSO A SMALL NUMBER OF OFF-DUTY SOLDIERS WHO PERFORMED AS BACKGROUND EXTRAS.",
DESERT STORM- THE MOVIE,,DENIED,1991,"THE AIR FORCE, THE MARINE CORPS, AND THE DOD DECLINED ASSISTING THE PRODUCTION BECAUSE DID NOT MEET THE NECESSARY CRITERIA. IT DIDN'T ENHANCE RECRUITMENT OR RETENTION DR PUBLIC UNDERSTANDING OF THE ARMED FORCES. NO RECORD OF THE MOVIE BEING MADE",
DESTINATION GOBI,,LIMITED,1953,US NAVY WEATHER MEN GO TO GOBI DESERT TO COLLECT WEATHER INFORMATION TO USE FOR ATTACKS ON JAPAN. LIMITED USE OF MEN AND EQUIPMENT,
DESTINATION TOKYO,,APPROVED,1943,WIDELY CONSIDERED TO BE ONE OF THE BEST SUBMARINE MOVIE OF WORLD WAR II. RECEIVED FULL COOPERATION IN THE RESEARCH AND DEVELOPMENT OF SCRIPT PROVIDED A SUBMARINE AT MARE ISLAND FOR EXTERIOR FILMING. CREATED CLICHE OF APPENDICITIS OPERATION ABOARD SUB. FILM FOCUSES ON AMERICAN SUB WHICH GOES INTO TOKYO BAY TO COLLECT WEATHER INFORMATION FOR DOOLITTLE RAID.,
DESTINY,,APPROVED,,"THE NAVY, AIR FORCE, AND MARINE CORPS APPROVED THE FILM FINDING IT SUSPENSEFUL, EXCITING, AND PROOF THAT IT IS OF MUTUAL ADVANTAGE TO PRODUCER AND DOD TO WORK TOGETHER. PREMIERE IN DC THE DEPARTMENT AND THE MARINE CORPS APPROVED ASSISTANCE TO THE PRODUCTION ALLOWING THE CORPS TO PROVIDE OFFICE SCENES. NO RECORD OF FILM BEING MADE",
DESTROYER,,APPROVED,1943,STORY OF THE BUILDING AND SERVICE OF A DESTROYER DURING WORLD WAR II. NAVY GAVE ACCESS TO SHIPYARD AND THEN SUPPLIED DESTROYER FOR FILMING AT SEA.,
DEVIL AT FOUR O'CLOCK,,OTHER,1961,NEED ADDITIONAL INFORMATION,
DEVIL DOGS OF THE AIR,,APPROVED,1935,"MARINES AND NAVY PROVIDED FULL COOPERATION FOR STORY ABOUT MARINE AVIATION IN PEACETIME. FILM INCLUDES AN AIR AND SEA ASSAULT EXERCISE. HOWEVER, FILM DOES NOT EXPLAIN THE DIFFERENT MISSIONS OF NAVY AND MARINE AVIATORS FLYING FROM AIRCRAFT CARRIERS. RARE DEPICTION OF MARINE FLIERS TAKING OFF FROM AIRCRAFT CARRIER",
DEVIL'S BRIGADE,,APPROVED,1968,"TYPICAL GROUP OF MISFITS A LA ""THE DIRTY DOZEN,"" WHOM WILLIAM HOLDEN MOLDS INTO CRACK UNIT ALONG WITH CANADIAN CONTINGENT. RECEIVED FULL ARMY COOPERATION IN FORM OF MEN, LOCATIONS, AND EQUIPMENT",
